blockIndex,coinbaseReward,timestamp,difficulty,timeBetweenBlocks
672,25600,1723825560777,24,854
673,25600,1723825564108,24,3331
674,25600,1723825564623,24,515
675,25600,1723825565137,24,514
676,25600,1723825565679,24,542
677,25600,1723825566218,24,539
678,25600,1723825568060,24,1842
679,25600,1723825568899,24,839
680,25600,1723825570373,24,1474
681,25600,1723825571845,24,1472
682,25600,1723825572372,24,527
683,25600,1723825572886,24,514
684,25600,1723825574648,24,1762
685,25600,1723825575179,24,531
686,25600,1723825575704,24,525
687,25600,1723825576543,24,839
688,25600,1723825577684,24,1141
689,25600,1723825580156,24,2472
690,25600,1723825581682,24,1526
691,25600,1723825582827,24,1145
692,25600,1723825584628,24,1801
693,25600,1723825585156,24,528
694,25600,1723825585683,24,527
695,25600,1723825586201,24,518
696,25600,1723825587024,24,823
697,25600,1723825587849,24,825
698,25600,1723825590258,24,2409
699,25600,1723825591096,24,838
700,25600,1723825591636,24,540
701,25600,1723825592169,24,533
702,25600,1723825592711,24,542
703,25600,1723825594165,24,1454
704,25600,1723825599141,24,4976
705,25600,1723825599698,24,557
706,25600,1723825600224,24,526
707,25600,1723825600742,24,518
708,25600,1723825601582,24,840
709,25600,1723825602419,24,837
710,25600,1723825603625,24,1206
711,25600,1723825604476,24,851
712,25600,1723825606263,24,1787
713,25600,1723825608032,24,1769
714,25600,1723825608547,24,515
715,25600,1723825609678,24,1131
716,25600,1723825611152,24,1474
717,25600,1723825612299,24,1147
718,25600,1723825614416,24,2117
719,25600,1723825614943,24,527
720,25600,1723825615835,24,892
721,25600,1723825616358,28,523
722,25600,1723825616901,28,543
723,25600,1723825617745,28,844
724,25600,1723825622026,28,4281
725,25600,1723825622858,28,832
726,25600,1723825623390,28,532
727,25600,1723825623920,28,530
728,25600,1723825624744,28,824
729,25600,1723825628063,28,3319
730,25600,1723825628929,28,866
731,25600,1723825631648,28,2719
732,25600,1723825632805,28,1157
733,25600,1723825633661,28,856
734,25600,1723825636380,28,2719
735,25600,1723825637219,28,839
736,25600,1723825638693,28,1474
737,25600,1723825639222,28,529
738,25600,1723825640061,28,839
739,25600,1723825640589,28,528
740,25600,1723825641443,28,854
741,25600,1723825641968,28,525
742,25600,1723825643731,28,1763
743,25600,1723825646448,28,2717
744,25600,1723825647279,28,831
745,25600,1723825648124,28,845
746,25600,1723825648950,28,826
747,25600,1723825651988,28,3038
748,25600,1723825653442,28,1454
749,25600,1723825654281,28,839
750,25600,1723825655162,28,881
751,25600,1723825656660,28,1498
752,25600,1723825657501,28,841
753,25600,1723825658342,28,841
754,25600,1723825659184,28,842
755,25600,1723825660009,28,825
756,25600,1723825660849,28,840
757,25600,1723825661998,28,1149
758,25600,1723825663785,28,1787
759,25600,1723825664938,28,1153
760,25600,1723825666126,28,1188
761,25600,1723825667912,28,1786
762,25600,1723825668438,28,526
763,25600,1723825669882,28,1444
764,25600,1723825671977,28,2095
765,25600,1723825672819,28,842
766,25600,1723825673345,28,526
767,25600,1723825674171,28,826
768,25600,1723825675322,28,1151
769,25600,1723825676462,28,1140
770,25600,1723825677004,28,542
771,25600,1723825677857,28,853
772,25600,1723825678384,28,527
773,25600,1723825679229,28,845
774,25600,1723825680067,28,838
775,25600,1723825680594,28,527
776,25600,1723825681745,28,1151
777,25600,1723825682889,28,1144
778,25600,1723825683727,28,838
779,25600,1723825684254,28,527
780,25600,1723825685442,28,1188
781,25600,1723825686590,28,1148
782,25600,1723825687119,28,529
783,25600,1723825687959,28,840
784,25600,1723825688797,28,838
785,25600,1723825690908,28,2111
786,25600,1723825691752,28,844
787,25600,1723825694820,28,3068
788,25600,1723825695983,28,1163
789,25600,1723825696513,28,530
790,25600,1723825697042,28,529
791,25600,1723825698195,28,1153
792,25600,1723825702508,28,4313
793,25600,1723825703349,28,841
794,25600,1723825704189,28,840
795,25600,1723825705031,28,842
796,25600,1723825706187,28,1156
797,25600,1723825706716,28,529
798,25600,1723825708211,28,1495
799,25600,1723825708739,28,528
800,25600,1723825711231,28,2492
801,25600,1723825712064,28,833
802,25600,1723825712902,28,838
803,25600,1723825718142,28,5240
804,25600,1723825719608,28,1466
805,25600,1723825721071,28,1463
806,25600,1723825722547,28,1476
807,25600,1723825724340,28,1793
808,25600,1723825726117,28,1777
809,25600,1723825726646,28,529
810,25600,1723825727518,28,872
811,25600,1723825729602,28,2084
812,25600,1723825730443,28,841
813,25600,1723825732230,28,1787
814,25600,1723825733071,28,841
815,25600,1723825733911,28,840
816,25600,1723825735062,28,1151
817,25600,1723825737155,28,2093
818,25600,1723825737688,28,533
819,25600,1723825740396,28,2708
820,25600,1723825741583,28,1187
821,25600,1723825743677,28,2094
822,25600,1723825744514,28,837
823,25600,1723825745028,28,514
824,25600,1723825746824,28,1796
825,25600,1723825748290,28,1466
826,25600,1723825748819,28,529
827,25600,1723825752163,28,3344
828,25600,1723825753007,28,844
829,25600,1723825753533,28,526
830,25600,1723825754735,28,1202
831,25600,1723825755880,28,1145
832,25600,1723825757339,28,1459
833,25600,1723825758804,28,1465
834,25600,1723825759332,28,528
835,25600,1723825759859,28,527
836,25600,1723825760384,28,525
837,25600,1723825761543,28,1159
838,25600,1723825762380,28,837
839,25600,1723825762894,28,514
840,25600,1723825763742,28,848
841,25600,1723825764571,28,829
842,25600,1723825766976,28,2405
843,25600,1723825769387,28,2411
844,25600,1723825769914,28,527
845,25600,1723825773256,28,3342
846,25600,1723825775403,28,2147
847,25600,1723825776930,28,1527
848,25600,1723825778091,28,1161
849,25600,1723825778620,28,529
850,25600,1723825779496,28,876
851,25600,1723825780330,28,834
852,25600,1723825783360,28,3030
853,25600,1723825786393,28,3033
854,25600,1723825787220,28,827
855,25600,1723825789301,28,2081
856,25600,1723825790124,28,823
857,25600,1723825791612,28,1488
858,25600,1723825793068,28,1456
859,25600,1723825794852,28,1784
860,25600,1723825795390,28,538
861,25600,1723825797170,28,1780
862,25600,1723825797699,28,529
863,25600,1723825798839,28,1140
864,25600,1723825799681,28,842
865,25600,1723825800833,31,1152
866,25600,1723825801362,31,529
867,25600,1723825802810,31,1448
868,25600,1723825803656,31,846
869,25600,1723825804490,31,834
870,25600,1723825806318,31,1828
871,25600,1723825806829,31,511
872,25600,1723825807982,31,1153
873,25600,1723825809136,31,1154
874,25600,1723825810286,31,1150
875,25600,1723825811117,31,831
876,25600,1723825811677,31,560
877,25600,1723825815003,31,3326
878,25600,1723825815532,31,529
879,25600,1723825816988,31,1456
880,25600,1723825824598,31,7610
881,25600,1723825828271,31,3673
882,25600,1723825829424,31,1153
883,25600,1723825830262,31,838
884,25600,1723825831743,31,1481
885,25600,1723825832274,31,531
886,25600,1723825834657,31,2383
887,25600,1723825835175,31,518
888,25600,1723825835707,31,532
889,25600,1723825836613,31,906
890,25600,1723825837155,31,542
891,25600,1723825838000,31,845
892,25600,1723825844568,31,6568
893,25600,1723825847351,31,2783
894,25600,1723825847880,31,529
895,25600,1723825848710,31,830
896,25600,1723825849224,31,514
897,25600,1723825849754,31,530
898,25600,1723825850583,31,829
899,25600,1723825852039,31,1456
900,25600,1723825853849,31,1810
901,25600,1723825854682,31,833
902,25600,1723825855212,31,530
903,25600,1723825856367,31,1155
904,25600,1723825859402,31,3035
905,25600,1723825862737,31,3335
906,25600,1723825863874,31,1137
907,25600,1723825864390,31,516
908,25600,1723825864918,31,528
909,25600,1723825865428,31,510
